user,trick_or_treat,archie_girls,the_dress,imitation,friday_or_saturday
ID-0206,FALSE,Betty,Blue and black,Flattery,NA
ID-0207,FALSE,Veronica,White and gold,Laziness,NA
ID-0208,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0209,FALSE,NA,NA,NA,NA
ID-0210,FALSE,Betty,White and gold,Flattery,NA
ID-0211,TRUE,Betty,Blue and black,Flattery,NA
ID-0212,TRUE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0213,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0214,FALSE,???,Blue and black,Laziness,NA
ID-0215,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0216,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0217,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0218,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0219,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0220,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0221,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0222,FALSE,Veronica,NA,NA,NA
ID-0223,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0224,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0225,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0226,FALSE,Betty,White and gold,Flattery,NA
ID-0227,FALSE,Veronica,White and gold,Flattery,NA
ID-0228,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0229,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0230,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0231,TRUE,???,Blue and black,Lazily flattering someone,NA
ID-0232,FALSE,Betty,NA,Laziness,NA
ID-0233,FALSE,Betty,Blue and black,Flattery,NA
ID-0234,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0235,FALSE,Betty,Blue and black,Flattery,NA
ID-0236,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0237,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0238,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0239,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0240,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0241,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0242,TRUE,Veronica,White and gold,Flattery,NA
ID-0243,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0244,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0245,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0246,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0247,FALSE,???,Blue and black,Flattery,NA
ID-0248,FALSE,Betty,Blue and black,Flattery,NA
ID-0249,TRUE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0250,TRUE,Veronica,Blue and black,Flattery,NA
ID-0251,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0252,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0253,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0254,FALSE,???,White and gold,Flattery,NA
ID-0255,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0256,FALSE,Betty,Blue and black,Laziness,NA
ID-0257,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0258,FALSE,Veronica,White and gold,Flattery,NA
ID-0259,FALSE,Veronica,White and gold,Flattery,NA
ID-0260,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0261,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0262,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0263,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0264,FALSE,Veronica,Blue and black,Flattery,NA
ID-0265,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0266,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0267,FALSE,Betty,White and gold,Flattery,NA
ID-0268,FALSE,Veronica,White and gold,NA,NA
ID-0269,FALSE,???,Blue and black,Laziness,NA
ID-0270,TRUE,Betty,White and gold,Laziness,NA
ID-0271,FALSE,Betty,Blue and black,Laziness,NA
ID-0272,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0273,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0274,TRUE,NA,NA,NA,NA
ID-0275,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0276,FALSE,???,NA,Lazily flattering someone,NA
ID-0277,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0278,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0279,TRUE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0280,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0281,FALSE,???,Blue and black,Laziness,NA
ID-0282,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0283,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0284,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0285,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0286,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0287,FALSE,???,Blue and black,Laziness,NA
ID-0288,TRUE,NA,NA,NA,NA
ID-0289,FALSE,Veronica,Blue and black,Flattery,NA
ID-0290,FALSE,Veronica,Blue and black,Flattery,NA
ID-0291,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0292,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0293,TRUE,NA,NA,NA,NA
ID-0294,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0295,TRUE,Veronica,Blue and black,Flattery,NA
ID-0296,FALSE,Betty,NA,Lazily flattering someone,NA
ID-0297,FALSE,Veronica,White and gold,Flattery,NA
ID-0298,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0299,TRUE,Betty,NA,Lazily flattering someone,NA
ID-0300,FALSE,Veronica,Blue and black,Laziness,NA
ID-0301,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0302,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0303,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0304,FALSE,Veronica,White and gold,Flattery,NA
ID-0305,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0306,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0307,FALSE,Veronica,NA,Lazily flattering someone,NA
ID-0308,FALSE,Betty,Blue and black,Laziness,NA
ID-0309,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0310,FALSE,Veronica,Blue and black,Flattery,NA
ID-0311,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0312,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0313,TRUE,Veronica,White and gold,Laziness,NA
ID-0314,TRUE,???,Blue and black,Lazily flattering someone,NA
ID-0315,TRUE,???,Blue and black,Lazily flattering someone,NA
ID-0316,FALSE,Betty,NA,Flattery,NA
ID-0317,TRUE,NA,NA,NA,NA
ID-0318,TRUE,NA,NA,NA,NA
ID-0319,FALSE,Betty,Blue and black,Flattery,NA
ID-0320,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0321,FALSE,Veronica,Blue and black,Flattery,NA
ID-0322,TRUE,Betty,Blue and black,Flattery,NA
ID-0323,FALSE,Betty,Blue and black,Flattery,NA
ID-0324,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0325,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0326,FALSE,Veronica,White and gold,Flattery,NA
ID-0327,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0328,TRUE,Veronica,NA,Laziness,NA
ID-0329,FALSE,Betty,White and gold,Laziness,NA
ID-0330,FALSE,Betty,White and gold,Laziness,NA
ID-0331,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0332,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0333,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0334,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0335,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0336,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0337,TRUE,Veronica,Blue and black,Flattery,NA
ID-0338,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0339,TRUE,Veronica,White and gold,Lazily flattering someone,NA
ID-0340,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0341,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0342,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0343,FALSE,Betty,Blue and black,Laziness,NA
ID-0344,FALSE,Veronica,Blue and black,Flattery,NA
ID-0345,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0346,FALSE,Veronica,NA,Lazily flattering someone,NA
ID-0347,FALSE,Veronica,White and gold,Flattery,NA
ID-0348,FALSE,Betty,Blue and black,Flattery,NA
ID-0349,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0350,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0351,FALSE,Veronica,NA,NA,NA
ID-0352,FALSE,Veronica,Blue and black,Laziness,NA
ID-0353,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0354,FALSE,Betty,White and gold,Laziness,NA
ID-0355,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0356,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0357,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0358,FALSE,Betty,White and gold,Flattery,NA
ID-0359,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0360,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0361,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0362,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0363,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0364,FALSE,Betty,NA,NA,NA
ID-0365,FALSE,Betty,Blue and black,Laziness,NA
ID-0366,FALSE,???,NA,NA,NA
ID-0367,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0368,TRUE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0369,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0370,FALSE,Veronica,Blue and black,Flattery,NA
ID-0371,TRUE,NA,NA,NA,NA
ID-0372,FALSE,Betty,White and gold,Flattery,NA
ID-0373,FALSE,NA,NA,NA,NA
ID-0374,TRUE,NA,NA,NA,NA
ID-0375,FALSE,Betty,Blue and black,Flattery,NA
ID-0376,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0377,FALSE,NA,NA,NA,NA
ID-0378,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0379,FALSE,Betty,White and gold,Flattery,NA
ID-0380,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0381,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0382,FALSE,???,Blue and black,Flattery,NA
ID-0383,FALSE,Veronica,Blue and black,Laziness,NA
ID-0384,FALSE,Betty,NA,Laziness,NA
ID-0385,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0386,FALSE,Betty,White and gold,Flattery,NA
ID-0387,FALSE,Veronica,Blue and black,Flattery,NA
ID-0388,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0389,FALSE,Veronica,Blue and black,Flattery,NA
ID-0390,FALSE,???,White and gold,Flattery,NA
ID-0391,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0392,FALSE,Veronica,Blue and black,Flattery,NA
ID-0393,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0394,TRUE,Veronica,Blue and black,Flattery,NA
ID-0395,FALSE,Veronica,White and gold,Laziness,NA
ID-0396,FALSE,Betty,White and gold,Laziness,NA
ID-0397,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0398,TRUE,Betty,Blue and black,Lazily flattering someone,NA
ID-0399,FALSE,???,White and gold,Flattery,NA
ID-0400,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0401,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0402,FALSE,Betty,Blue and black,Flattery,NA
ID-0403,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0404,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0405,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0406,FALSE,???,White and gold,Flattery,NA
ID-0407,FALSE,Betty,Blue and black,Flattery,NA
ID-0408,FALSE,NA,Blue and black,Lazily flattering someone,NA
ID-0409,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0410,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0411,FALSE,Veronica,Blue and black,NA,NA
ID-0412,TRUE,???,White and gold,Lazily flattering someone,NA
ID-0413,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0414,FALSE,Betty,White and gold,Flattery,NA
ID-0415,FALSE,Veronica,Blue and black,Laziness,NA
ID-0416,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0417,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0418,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0419,TRUE,Betty,White and gold,NA,NA
ID-0420,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0421,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0422,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0423,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0424,FALSE,Veronica,Blue and black,Flattery,NA
ID-0425,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0426,FALSE,???,NA,Lazily flattering someone,NA
ID-0427,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0428,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0429,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0430,FALSE,???,White and gold,Laziness,NA
ID-0431,FALSE,???,NA,Lazily flattering someone,NA
ID-0432,FALSE,NA,NA,NA,NA
ID-0433,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0434,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0435,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0436,FALSE,Betty,Blue and black,Flattery,NA
ID-0437,FALSE,Veronica,Blue and black,Laziness,NA
ID-0438,FALSE,Betty,Blue and black,Flattery,NA
ID-0439,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0440,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0441,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0442,FALSE,Veronica,NA,Flattery,NA
ID-0443,TRUE,Betty,White and gold,NA,NA
ID-0444,FALSE,Betty,White and gold,Flattery,NA
ID-0445,FALSE,Veronica,White and gold,Flattery,NA
ID-0446,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0447,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0448,FALSE,NA,NA,NA,NA
ID-0449,TRUE,Veronica,White and gold,Lazily flattering someone,NA
ID-0450,FALSE,Veronica,Blue and black,Flattery,NA
ID-0451,FALSE,Veronica,Blue and black,Flattery,NA
ID-0452,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0453,TRUE,Veronica,White and gold,Lazily flattering someone,NA
ID-0454,FALSE,???,White and gold,Flattery,NA
ID-0455,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0456,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0457,FALSE,???,White and gold,Laziness,NA
ID-0458,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0459,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0460,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0462,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0461,FALSE,Veronica,NA,NA,NA
ID-0463,FALSE,Betty,White and gold,Flattery,NA
ID-0464,FALSE,Betty,Blue and black,Flattery,NA
ID-0465,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0466,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0467,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0468,FALSE,Veronica,White and gold,Flattery,NA
ID-0469,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0470,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0471,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0472,FALSE,Betty,Blue and black,Flattery,NA
ID-0473,FALSE,Betty,Blue and black,Flattery,NA
ID-0474,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0475,FALSE,Veronica,Blue and black,Flattery,NA
ID-0476,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0477,FALSE,???,White and gold,Flattery,NA
ID-0478,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0479,TRUE,Veronica,White and gold,Laziness,NA
ID-0480,FALSE,Veronica,Blue and black,Flattery,NA
ID-0481,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0482,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0483,FALSE,Veronica,Blue and black,Flattery,NA
ID-0484,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0485,TRUE,Betty,Blue and black,Lazily flattering someone,NA
ID-0486,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0487,FALSE,Veronica,White and gold,Flattery,NA
ID-0488,FALSE,Veronica,Blue and black,Laziness,NA
ID-0489,TRUE,Betty,Blue and black,NA,NA
ID-0490,FALSE,Veronica,Blue and black,Laziness,NA
ID-0491,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0492,FALSE,Betty,Blue and black,Laziness,NA
ID-0493,TRUE,Veronica,Blue and black,Laziness,NA
ID-0494,FALSE,Betty,NA,NA,NA
ID-0495,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0496,TRUE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0497,FALSE,???,NA,Laziness,NA
ID-0498,FALSE,Veronica,NA,Lazily flattering someone,NA
ID-0499,FALSE,Veronica,Blue and black,Laziness,NA
ID-0500,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0501,FALSE,???,Blue and black,Laziness,NA
ID-0502,FALSE,Veronica,Blue and black,Flattery,NA
ID-0503,FALSE,Veronica,White and gold,Laziness,NA
ID-0504,TRUE,Veronica,Blue and black,Laziness,NA
ID-0505,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0506,FALSE,NA,NA,Lazily flattering someone,NA
ID-0507,FALSE,???,White and gold,Flattery,NA
ID-0508,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0509,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0510,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0511,FALSE,Veronica,Blue and black,Flattery,NA
ID-0512,FALSE,Betty,White and gold,Flattery,NA
ID-0513,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0514,TRUE,Veronica,White and gold,Flattery,NA
ID-0515,TRUE,Veronica,Blue and black,Laziness,NA
ID-0516,FALSE,Veronica,Blue and black,Laziness,NA
ID-0517,FALSE,???,Blue and black,Laziness,NA
ID-0518,FALSE,???,Blue and black,Laziness,NA
ID-0519,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0520,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0521,FALSE,Betty,White and gold,Laziness,NA
ID-0522,FALSE,???,White and gold,Flattery,NA
ID-0523,FALSE,???,Blue and black,Laziness,NA
ID-0524,FALSE,Veronica,Blue and black,Flattery,NA
ID-0526,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0527,TRUE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0528,FALSE,Veronica,White and gold,Laziness,NA
ID-0529,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0530,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0531,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0532,FALSE,Veronica,NA,Laziness,NA
ID-0533,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0534,FALSE,Veronica,White and gold,Flattery,NA
ID-0535,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0536,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0525,FALSE,NA,NA,NA,NA
ID-0537,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0538,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0539,TRUE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0540,FALSE,???,Blue and black,Flattery,NA
ID-0541,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0542,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0544,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0545,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0546,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0543,FALSE,Betty,Blue and black,Flattery,NA
ID-0547,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0548,FALSE,Betty,Blue and black,Laziness,NA
ID-0549,TRUE,Betty,White and gold,Laziness,NA
ID-0550,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0551,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0552,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0553,FALSE,Betty,White and gold,Flattery,NA
ID-0554,FALSE,NA,NA,NA,NA
ID-0555,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0556,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0557,FALSE,Betty,Blue and black,Laziness,NA
ID-0558,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0559,FALSE,???,White and gold,Lazily flattering someone,NA
ID-0560,FALSE,Betty,Blue and black,Flattery,NA
ID-0561,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0562,FALSE,NA,NA,NA,NA
ID-0563,FALSE,NA,NA,NA,NA
ID-0564,FALSE,Veronica,Blue and black,Flattery,NA
ID-0565,TRUE,Veronica,Blue and black,Flattery,NA
ID-0566,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0567,TRUE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0568,FALSE,NA,NA,NA,NA
ID-0569,FALSE,Betty,Blue and black,Flattery,NA
ID-0570,FALSE,Veronica,Blue and black,Lazily flattering someone,NA
ID-0571,FALSE,Veronica,White and gold,Lazily flattering someone,NA
ID-0572,FALSE,Betty,Blue and black,Laziness,NA
ID-0573,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0574,FALSE,???,NA,Lazily flattering someone,NA
ID-0575,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0576,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0577,FALSE,Betty,White and gold,Lazily flattering someone,NA
ID-0578,FALSE,???,Blue and black,Lazily flattering someone,NA
ID-0579,FALSE,Veronica,Blue and black,Flattery,NA
ID-0580,FALSE,???,NA,NA,NA
ID-0581,FALSE,Veronica,Blue and black,Flattery,NA
ID-0582,FALSE,Veronica,White and gold,Flattery,NA
ID-0583,FALSE,Betty,White and gold,Laziness,NA
ID-0584,FALSE,Betty,Blue and black,Lazily flattering someone,NA
ID-0585,FALSE,Betty,White and gold,Lazily flattering someone,NA
